Architecture,HiddenLayers,NodesperLayer,Epochs,LearningRate,Accuracy,Loss
1,2,16,100,0.00,,
2,4,8,200,0.01,,
3,3,12,150,0.01,,
4,1,4,100,0.01,,
5,2,8,150,0.00,,
6,3,16,200,0.01,,
7,4,12,100,0.01,,
8,2,4,150,0.01,,
9,3,8,100,0.00,,
10,4,16,200,0.01,,
11,1,12,150,0.01,,
12,2,4,200,0.01,,
13,3,8,100,0.00,,
14,4,16,150,0.01,,
15,2,12,200,0.01,,
16,3,4,150,0.01,,
17,4,8,100,0.00,,
18,2,16,200,0.01,,
19,3,12,150,0.01,,
20,4,4,100,0.01,,
21,1,8,150,0.00,,
22,2,16,100,0.01,,
23,3,12,200,0.01,,
24,4,4,150,0.00,,
25,2,8,100,0.01,,
26,3,16,150,0.01,,
27,4,12,200,0.00,,
28,1,4,150,0.01,,
29,2,8,100,0.01,,
30,3,16,150,0.00,,
31,4,12,200,0.01,,
32,2,4,150,0.00,,
33,3,8,100,0.01,,
34,4,16,150,0.01,,
35,1,12,200,0.01,,
36,2,4,100,0.01,,
37,3,8,150,0.00,,
38,4,16,200,0.01,,
39,2,12,150,0.00,,
40,3,4,200,0.01,,
41,4,8,150,0.01,,
42,2,16,200,0.00,,
43,3,12,100,0.01,,
44,4,4,150,0.01,,
45,1,8,200,0.00,,
46,2,16,100,0.01,,
47,3,12,150,0.00,,
48,4,4,200,0.01,,
49,2,8,150,0.01,,
50,3,16,100,0.00,,
51,4,12,150,0.01,,
52,1,4,200,0.01,,
53,2,8,150,0.01,,
54,3,16,200,0.00,,
55,4,12,100,0.01,,
56,2,4,150,0.01,,
57,3,8,200,0.00,,
58,4,16,150,0.01,,
59,1,12,100,0.01,,
60,2,4,150,0.00,,
61,3,8,100,0.01,,
62,4,16,150,0.01,,
63,2,12,200,0.00,,
64,3,4,150,0.01,,
65,4,8,100,0.01,,
66,2,16,200,0.01,,
67,3,12,150,0.01,,
68,4,4,100,0.00,,
69,1,8,150,0.01,,
70,2,16,100,0.01,,
71,3,12,200,0.00,,
72,4,4,150,0.01,,
73,2,8,100,0.01,,
74,3,16,150,0.00,,
75,4,12,200,0.01,,
76,1,4,150,0.01,,
77,2,8,100,0.00,,
78,3,16,150,0.01,,
79,4,12,200,0.00,,
80,2,4,100,0.01,,
81,3,16,200,0.01,,
82,4,8,150,0.00,,
83,2,12,100,0.01,,
84,3,4,150,0.00,,
85,4,8,200,0.01,,
86,2,16,150,0.01,,
87,3,12,100,0.01,,
88,4,4,150,0.00,,
89,1,8,200,0.01,,
90,2,16,100,0.01,,
91,3,12,150,0.00,,
92,4,4,200,0.01,,
93,2,8,150,0.00,,
94,3,16,200,0.01,,
95,4,12,150,0.01,,
96,1,4,100,0.00,,
97,2,8,150,0.01,,
98,3,16,100,0.00,,
99,4,12,150,0.01,,
100,2,4,200,0.01,,
